Sequence,Month_Int_Representation,Year,Month_Integer_Representation,Number_of_Days_in_Month,Income,Cost_of_Goods_Sold,Operating_Expenses,Hours_Worked,Billable_Hours,Billable_Amount,New_Biz_Hours,n_of_Time_Entries,n_of_Time_Entries_Billable,n_of_New_Biz_Time_Entries,n_Timesheets
32,8,2015,31,625238.87,-182727.01,-405971.05,18.15,3933.4,426526.95,221.35,26408.25,7087,5293,185,944
33,9,2015,30,534575.52,-151886.84,-369303.23,9.48,4515.9,504580.35,356.1,44434.5,7320,5504,199,975
34,10,2015,31,860153.34,-340623.27,-470342.28,22.03,4391.7,485016.75,344.35,39630.75,7449,5442,209,1017
35,11,2015,30,602222.72,-219120.11,-388747.53,1694.28,3500.15,384517.75,231.75,27311.25,6093,4051,158,1002
36,12,2015,31,478075.22,-181504.32,-508859.54,-1850.18,3614.05,391008.4,396,51195,6215,4071,236,1115
37,1,2016,31,553870.47,-64806.92,-435046.57,36.41,4581.6,503487.85,380.75,46702.5,7104,4787,244,1048
38,2,2016,29,426514.25,-101168.71,-343113.28,19.5,4224.15,460285.25,311.1,34133.25,7417,4915,575,1018
39,3,2016,31,490357.69,-80361.58,-380035.32,2053.3,4331.7,476670.25,381,43406.25,7061,4629,339,1049
40,4,2016,30,558206.87,-115440.26,-400417.86,2067.28,4311.65,477273.75,717.75,81423.75,6899,4613,435,967
41,5,2016,31,522375.49,-118682.24,-387503.73,12.34,4303.35,468297.2,229.75,25462.5,6773,4818,213,934
42,6,2016,30,572557.34,-139643.6,-362547.26,5.9,3861.27,415039.95,208.67,19989.15,6428,4549,221,886
43,7,2016,31,574860.54,-199042.97,-361581.58,8.02,3512.41,379571.14,190,21308.55,5833,4400,230,802
44,8,2016,31,570817.65,-187918.41,-341240.41,1578.47,3758.29,404778.82,135.24,15326.4,6216,4598,125,857
45,9,2016,30,683476.98,-278014.57,-356726.42,-4.18,3421.12,367502.21,268.75,30795,5616,4095,183,825
46,10,2016,31,934338.44,-552069.97,-365432.12,947.37,3375.61,387326.15,425.49,53570.25,5282,3665,254,781
47,11,2016,30,664797.5,-237243.06,-383993.25,34.25,3352.45,381750.95,229.59,26068.2,5711,3944,161,870
48,12,2016,31,664879.46,-254026,-565547.65,38.82,3452.07,393563.6,274.67,32889.15,5760,4236,232,900
49,1,2017,31,654290.23,-242713.64,-393117.77,4813.29,4027.04,460035.65,414.24,47887.55,7033,5320,361,920
50,2,2017,28,570228.44,-96770.93,-414112.36,1554.88,3935.63,482656.8,223.15,29527.75,6102,4451,184,836
51,3,2017,31,601421.55,-151093.68,-401790.21,804.05,4397.66,547444.9,229.62,31722.45,7017,4979,185,981
52,4,2017,30,654304.77,-242759.39,-382013.99,3310.64,3466.79,423313.9,260.75,36976.25,6065,4139,247,869
53,5,2017,31,758979.42,-237922.12,-465629.86,2194.35,4356.24,526388.25,455.45,58014.85,7243,4985,363,1029
54,6,2017,30,732063.34,-239633.41,-448267.97,1551.55,4543.48,558251.45,412.6,55248.5,7218,5217,359,994
55,7,2017,31,656748.22,-206904.13,-401281.03,1582.99,3460.35,420022.45,285.18,39710.55,6076,4296,221,949
56,8,2017,31,574020.64,-141183,-407188.67,1624.04,4232.74,518457.3,384.63,50825.7,6730,5004,253,993
57,9,2017,30,442348.44,-101544.09,-351376.94,1587.12,3537.29,437491.85,265.15,32583.4,6098,4558,194,871
58,10,2017,31,750321.52,-207020.92,-507545.9,1095.7,4321.45,535888.45,286.84,36280.55,6480,4925,205,966
59,11,2017,30,714734.89,-251173.3,-449593.22,2873.79,3875.73,481814.5,212.22,31955.95,6188,4589,141,971
60,12,2017,31,652670.89,-176645.96,-568861.81,1207.42,3698.93,447519.65,188.2,27198.25,5458,4184,130,890
61,1,2018,31,631613.32,-123565.91,-468418.12,174.05,4295.5,528417.7,241.3,33943,7552,5674,196,985
62,2,2018,28,598013.41,-149114.63,-416142.16,2360.12,4081.97,504911.9,442.46,63179.3,7066,5380,313,890
63,3,2018,31,751997.5,-198594.69,-511969.68,1173.18,5010.48,617576.32,361.62,51097.65,6962,5426,257,997
64,4,2018,30,1392961.35,-549681.89,-737982.6,197.93,4835.4,580939,236.45,31948.55,7061,5589,229,964
65,5,2018,31,874541.03,-295096.31,-470125.27,1405.79,4456.08,534382.15,273.48,36780.45,7701,5425,234,1106
66,6,2018,30,766178.07,-166132.97,-519187.32,236.73,5227.563,650053.24,410.63,56415.95,7772,5544,294,1154
67,7,2018,31,707829.31,-180258.32,-489670.17,275.09,4459.7,552113.8,214.89,30203.9,7532,5080,196,1186
68,8,2018,31,947828.34,-228139.26,-632033.71,2286.15,5487.67,676335.6,380.94,53038.5,8544,6085,277,1276
69,9,2018,30,672792.03,-145224.96,-494966.2,321.09,4670.49,580306.06,313.95,44959.5,7557,5312,185,1103
70,10,2018,31,895603.5,-234433.47,-583900.47,402.66,5014.69,607479.05,329.69,44552,9012,5980,241,1269
71,11,2018,30,474090.84,-72343.45,-396835.16,2920.14,4205.873,497921.34,126.54,16959.75,7845,5036,137,1220
72,12,2018,31,548548.59,-126745.36,-606713.75,218.62,3473.85,418522.45,254.78,33371.3,6502,4138,200,1181
73,1,2019,31,769626.53,-145164.93,-558000.28,1501.5,5054.21,650752.65,464.29,66991.4,9944,6720,496,1280
74,2,2019,28,859917.42,-249326.68,-557169.02,852.26,4964.655,639750.64,328.73,47403.3,9155,6172,257,1150
75,3,2019,31,731277.3,-145024.28,-518685.93,870.27,5138.76,661857.29,506.48,75138.55,9089,6014,312,1212
76,4,2019,30,818073.16,-160275.8,-594533.43,2245.32,5496.782,692547.08,293.94,41591.9,10129,6874,344,1325
77,5,2019,31,1012505.7,-230387.75,-705321.36,251.72,6068.27,766006.67,281.95,38013.25,10511,7101,186,1391
78,6,2019,30,846539.4,-175961.22,-605843.13,231.36,4767.45,629492.51,201.65,27181.5,8275,5211,143,1220
79,7,2019,31,963341.64,-255157.54,-649991.71,436.76,5478.08,737397.65,203.75,27635,9838,6267,164,1430
80,8,2019,31,838696.03,-112806.23,-675576.75,552.31,5684.31,752191.15,357.95,54731,10037,7272,210,1316
81,9,2019,30,897759.88,-161712.28,-683630.34,2490.66,5455.64,726932.54,317.96,43115.05,9381,6768,161,1268
82,10,2019,31,926194.87,-114636.23,-737341.54,696.38,5779.55,777110.85,161.75,25075,10868,7509,121,1389
83,11,2019,30,677295.73,-110101.13,-552268.89,746.24,5153.69,693316.57,449.87,71933.6,8484,5868,304,1259
84,12,2019,31,603071.16,-74169.77,-579074.93,990.2,4010.82,540260.6,321.75,53041.25,6986,4444,250,1303
85,1,2020,31,887509.15,-85139.63,-762821.46,566.73,5876.705,788212.19,324.15,51169.5,9946,7122,250,1369
86,2,2020,29,771923.37,-108176.85,-611222.52,575.3,4790.39,640802.95,172.9,28182,8838,6253,116,1132
87,3,2020,31,907614,-234655.61,-599558.23,2873.82,5080.18,690309.97,250.46,40000.05,9305,6283,166,1249
88,4,2020,30,696073.82,-42347.15,-570151.27,594.07,5177.67,686822.35,164.32,26352.1,9404,6144,107,1247
89,5,2020,31,930932.27,-271798.23,-595775.68,2117.45,4997.18,653396.91,102.82,16357.1,8988,5950,84,1178
90,6,2020,30,850834.39,-46422.32,-740661.21,790.78,5518.74,727241.75,104.8,15304,9255,6272,73,1213
91,7,2020,31,722491.98,-89454.88,-565764.12,2511.13,4888.02,640689.61,60,8617.5,8799,5743,42,1266
92,8,2020,31,726087.96,-62373.59,-634951.74,266.31,5161.545,683125.74,206.93,32452.9,8321,5813,129,1154
93,9,2020,30,798526.78,-77368.98,-672255.4,3661.3,5458.12,721721.65,185.55,30034,9440,6703,117,1209
94,10,2020,31,908766.3,-131353.74,-548789.84,-214.55,5692.74,754512.01,75.8,11875.25,10409,7456,56,1219
